('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         617079 function calls (591908 primitive calls) in 6.746 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
        1    0.000    0.000    6.405    6.405 financial.py:14(parse)
      428    0.000    0.000    0.000    0.000 _htmlparser.py:195(handle_data)
      213    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
     1741    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.005    0.005 packages.py:1(<module>)
       97    0.000    0.000    0.001    0.000 enum.py:835(__or__)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      647    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
        1    0.000    0.000    0.000    0.000 ssl.py:1128(_real_close)
     1362    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      765    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      373    0.000    0.000    0.000    0.000 types.py:164(__get__)
        1    0.000    0.000    0.003    0.003 six.py:21(<module>)
     1116    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      647    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      175    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       45    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
     1116    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      206    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      765    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      152    0.000    0.000    0.000    0.000 typing.py:165(_collect_type_vars)
    46/14    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
        1    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      431    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      140    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      156    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      408    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       18    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
  158/157    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      345    0.000    0.000    0.114    0.000 re.py:234(compile)
      204    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
    52/33    0.000    0.000    0.001    0.000 typing.py:340(__getitem__)
      156    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       84    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
       25    0.000    0.000    0.168    0.007 client.py:608(_safe_read)
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      386    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      430    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
      238    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      159    0.000    0.000    0.000    0.000 socket.py:614(readable)
        8    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
      156    0.000    0.000    0.001    0.000 _collections_abc.py:742(__iter__)
       21    0.000    0.000    0.187    0.009 response.py:776(read_chunked)
      213    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      205    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       41    0.000    0.000    0.001    0.000 typing.py:180(_subs_tvars)
       80    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      271    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      957    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      192    0.000    0.000    0.001    0.000 element.py:274(get_text)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
    242/3    0.000    0.000    0.344    0.115 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
      870    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.011    0.011 utils.py:7(<module>)
      158    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        1    0.000    0.000    0.009    0.009 __init__.py:24(<module>)
      744    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
       21    0.000    0.000    0.168    0.008 response.py:754(_handle_chunk)
      500    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       36    0.000    0.000    0.000    0.000 functools.py:492(decorating_function)
       41    0.000    0.000    0.001    0.000 typing.py:626(__getitem__)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      208    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
      257    0.000    0.000    0.000    0.000 element.py:388(_last_descendant)
      136    0.000    0.000    0.000    0.000 os.py:699(__iter__)
        1    0.000    0.000    0.016    0.016 random.py:38(<module>)
        2    0.000    0.000    0.001    0.000 request.py:2489(getproxies_environment)
       12    0.000    0.000    0.000    0.000 enum.py:877(_decompose)
       48    0.000    0.000    0.000    0.000 __init__.py:620(_linkage_fixer)
  217/215    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      513    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       24    0.000    0.000    0.044    0.002 <frozen importlib._bootstrap_external>:1040(create_module)
      175    0.000    0.000    0.006    0.000 sre_parse.py:96(closegroup)
        3    0.000    0.000    0.000    0.000 socket.py:139(__init__)
       21    0.000    0.000    0.006    0.000 response.py:397(_decode)
      158    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      268    0.000    0.000    0.000    0.000 os.py:758(decode)
      234    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       33    0.000    0.000    0.000    0.000 typing.py:212(_remove_dups_flatten)
      103    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       66    0.000    0.000    0.037    0.001 element.py:1871(find_all)
    43/18    0.000    0.000    0.244    0.014 {built-in method builtins.__import__}
      208    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
      145    0.000    0.000    0.000    0.000 os.py:754(encode)
       10    0.000    0.000    0.002    0.000 enum.py:394(_create_)
        1    0.000    0.000    0.028    0.028 dammit.py:67(EntitySubstitution)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
        2    0.000    0.000    0.035    0.017 connection.py:1(<module>)
      362    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      217    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      206    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
    42/30    0.000    0.000    0.011    0.000 css_parser.py:581(parse_pseudo_class)
        1    0.000    0.000    0.067    0.067 css_parser.py:1(<module>)
       12    0.000    0.000    0.000    0.000 enum.py:895(<listcomp>)
       29    0.000    0.000    0.000    0.000 ipaddress.py:1625(_ip_int_from_string)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
       12    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
    38/29    0.000    0.000    0.011    0.000 css_parser.py:741(parse_pseudo_open)
      160    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:824(update)
       69    0.000    0.000    0.001    0.000 typing.py:638(copy_with)
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.006    0.006 ssl.py:91(<module>)
      192    0.000    0.000    0.001    0.000 element.py:293(<listcomp>)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
      170    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
        1    0.000    0.000    0.000    0.000 typing.py:1490(IO)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
       26    0.000    0.000    0.874    0.034 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
      203    0.000    0.000    0.000    0.000 enum.py:633(value)
       12    0.000    0.000    0.000    0.000 enum.py:805(_create_pseudo_member_)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.006    0.006 socket.py:47(<module>)
      319    0.000    0.000    0.000    0.000 ssl.py:908(_checkClosed)
       55    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        7    0.000    0.000    0.036    0.005 __init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 typing.py:19(<module>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
       28    0.000    0.000    0.001    0.000 typing.py:765(__getitem_inner__)
       23    0.000    0.000    0.000    0.000 threading.py:335(notify)
        1    0.000    0.000    0.016    0.016 request.py:68(<module>)
        1    0.000    0.000    0.136    0.136 connection.py:356(connect)
        3    0.000    0.000    0.000    0.000 url.py:333(parse_url)
      182    0.000    0.000    0.000    0.000 typing.py:322(__hash__)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
       14    0.000    0.000    0.000    0.000 enum.py:479(_find_new_)
       52    0.000    0.000    0.003    0.000 css_parser.py:1113(<listcomp>)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
        1    0.000    0.000    0.001    0.001 client.py:207(parse_headers)
        1    0.000    0.000    0.002    0.002 datetime.py:5(<module>)
       10    0.000    0.000    0.000    0.000 parse.py:361(urlparse)
       67    0.000    0.000    0.002    0.000 _htmlparser.py:107(handle_startendtag)
