('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         613439 function calls (588578 primitive calls) in 1.106 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       31    0.000    0.000    0.001    0.000 typing.py:482(Union)
      168    0.000    0.000    0.001    0.000 _collections_abc.py:901(__iter__)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        3    0.000    0.000    0.021    0.007 utils.py:1(<module>)
      279    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       25    0.000    0.000    0.207    0.008 response.py:776(read_chunked)
      238    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       39    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      196    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       39    0.000    0.000    0.001    0.000 typing.py:1121(__getitem__)
    65/34    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      509    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      468    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      158    0.000    0.000    0.000    0.000 os.py:754(encode)
      292    0.000    0.000    0.000    0.000 os.py:758(decode)
       66    0.000    0.000    0.039    0.001 element.py:1871(find_all)
      344    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      998    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       10    0.000    0.000    0.003    0.000 enum.py:483(_create_)
      192    0.000    0.000    0.001    0.000 element.py:293(<listcomp>)
      229    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       42    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
        2    0.000    0.000    0.001    0.000 request.py:2488(getproxies_environment)
      315    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
    42/30    0.000    0.000    0.011    0.000 css_parser.py:581(parse_pseudo_class)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      954    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      171    0.000    0.000    0.006    0.000 sre_parse.py:96(closegroup)
       98    0.000    0.000    0.001    0.000 typing.py:933(__init__)
       25    0.000    0.000    0.005    0.000 response.py:397(_decode)
      485    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       29    0.000    0.000    0.000    0.000 ipaddress.py:1609(_ip_int_from_string)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
    39/18    0.000    0.000    0.171    0.009 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
      315    0.000    0.000    0.000    0.000 ssl.py:1108(_checkClosed)
       26    0.000    0.000    0.049    0.002 response.py:740(_update_chunk_length)
      270    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 css_match.py:78(_DocumentNav)
       25    0.000    0.000    0.153    0.006 response.py:754(_handle_chunk)
        1    0.000    0.000    0.000    0.000 response.py:162(HTTPResponse)
      188    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
      157    0.000    0.000    0.000    0.000 socket.py:730(readable)
        3    0.000    0.000    0.000    0.000 socket.py:220(__init__)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1578(_fill_cache)
        1    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
      238    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
        2    0.000    0.000    0.001    0.000 hashlib.py:82(__get_builtin_constructor)
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      237    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
        1    0.000    0.000    0.068    0.068 css_parser.py:1(<module>)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
        3    0.000    0.000    0.011    0.004 request.py:1(<module>)
    38/29    0.000    0.000    0.011    0.000 css_parser.py:741(parse_pseudo_open)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
      175    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
        1    0.000    0.000    0.007    0.007 ssl.py:1(<module>)
      410    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       66    0.000    0.000    0.001    0.000 typing.py:1130(copy_with)
      240    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      239    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
       31    0.000    0.000    0.000    0.000 typing.py:266(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 ssl.py:1330(_real_close)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        1    0.000    0.000    0.030    0.030 dammit.py:67(EntitySubstitution)
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      148    0.000    0.000    0.000    0.000 os.py:697(__iter__)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
      482    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      156    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      320    0.000    0.000    0.000    0.000 enum.py:801(value)
       33    0.000    0.000    0.004    0.000 element.py:1846(find)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1202(_parse_octet)
       94    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       54    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        2    0.000    0.000    0.005    0.003 models.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
       27    0.000    0.000    0.001    0.000 typing.py:1206(__getitem__)
  229/227    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
       40    0.000    0.000    0.153    0.004 client.py:623(_safe_read)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
        2    0.000    0.000    0.030    0.015 connection.py:1(<module>)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      156    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       11    0.000    0.000    0.000    0.000 parse.py:437(urlsplit)
       92    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       66    0.000    0.000    0.000    0.000 element.py:2278(__init__)
       42    0.000    0.000    0.001    0.000 abc.py:105(__new__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1485(__init__)
        1    0.000    0.000    0.000    0.000 header.py:541(_Accumulator)
        1    0.000    0.000    0.127    0.127 connection.py:356(connect)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2181(__init__)
       52    0.000    0.000    0.003    0.000 css_parser.py:1113(<listcomp>)
        1    0.000    0.000    0.034    0.034 connectionpool.py:1(<module>)
       68    0.000    0.000    0.002    0.000 _htmlparser.py:107(handle_startendtag)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1334(_path_hooks)
      152    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       12    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
