Exception: Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
         370138 function calls (351454 primitive calls) in 2.082 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
       61    0.000    0.000    0.000    0.000 dammit.py:166(<listcomp>)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       56    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       56    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       54    0.000    0.000    0.000    0.000 re.py:269(escape)
       53    0.000    0.000    0.000    0.000 six.py:178(_add_module)
       52    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       52    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       52    0.000    0.000    0.003    0.000 css_parser.py:1113(<listcomp>)
    52/14    0.001    0.000    0.015    0.001 css_parser.py:925(parse_selectors)
       50    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
    48/31    0.000    0.000    0.001    0.000 typing.py:400(__getitem__)
       47    0.000    0.000    0.000    0.000 ipaddress.py:159(_split_optional_netmask)
       47    0.000    0.000    0.000    0.000 ipaddress.py:536(_split_addr_prefix)
       46    0.000    0.000    0.000    0.000 six.py:108(__init__)
       43    0.000    0.000    0.000    0.000 typing.py:1217(<genexpr>)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1881(__init__)
       42    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
       42    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       42    0.000    0.000    0.001    0.000 abc.py:105(__new__)
       42    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       42    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
    42/30    0.000    0.000    0.011    0.000 css_parser.py:581(parse_pseudo_class)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       39    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       39    0.000    0.000    0.000    0.000 typing.py:222(_check_generic)
       39    0.000    0.000    0.001    0.000 typing.py:1121(__getitem__)
    38/17    0.000    0.000    0.170    0.010 {built-in method builtins.__import__}
    38/29    0.000    0.000    0.011    0.000 css_parser.py:741(parse_pseudo_open)
       37    0.000    0.000    0.000    0.000 typing.py:218(<listcomp>)
       35    0.000    0.000    0.000    0.000 {built-in method _operator.index}
       32    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       32    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       31    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       31    0.000    0.000    0.000    0.000 typing.py:252(_deduplicate)
       31    0.000    0.000    0.000    0.000 typing.py:266(_remove_dups_flatten)
       31    0.000    0.000    0.001    0.000 typing.py:482(Union)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1713(_parse_hextet)
       30    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
       30    0.000    0.000    0.000    0.000 ipaddress.py:1275(__init__)
       28    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       28    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       28    0.000    0.000    0.000    0.000 ipaddress.py:1589(_make_netmask)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1609(_ip_int_from_string)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1846(_split_scope_id)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2181(__init__)
       27    0.000    0.000    0.001    0.000 typing.py:1206(__getitem__)
    25/24    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
    25/24    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
       25    0.000    0.000    0.000    0.000 typing.py:1230(__hash__)
       25    0.000    0.000    0.030    0.001 six.py:190(find_spec)
       25    0.000    0.000    0.000    0.000 ipaddress.py:418(_check_int_address)
       25    0.000    0.000    0.000    0.000 ipaddress.py:434(_ip_int_from_prefix)
       25    0.000    0.000    0.000    0.000 ipaddress.py:477(_prefix_from_prefix_string)
       24    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       24    0.000    0.000    0.000    0.000 abc.py:110(register)
       23    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       22    0.010    0.000    0.010    0.000 {built-in method _imp.create_dynamic}
       22    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
       22    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
       21    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       21    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       20    0.000    0.000    0.000    0.000 typing.py:710(__hash__)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1176(_ip_int_from_string)
       19    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       19    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       19    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
       19    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1150(_make_netmask)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1468(__init__)
       18    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       18    0.000    0.000    0.000    0.000 enum.py:1049(<lambda>)
       18    0.000    0.000    0.546    0.030 __init__.py:1(<module>)
       17    0.000    0.000    0.000    0.000 typing.py:379(__repr__)
       17    0.000    0.000    0.001    0.000 typing.py:522(Optional)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       16    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       16    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1334(_path_hooks)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1485(__init__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1607(<setcomp>)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1578(_fill_cache)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1619(path_hook_for_FileFinder)
       16    0.000    0.000    0.000    0.000 enum.py:82(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
       16    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
       16    0.000    0.000    0.001    0.000 enum.py:222(<setcomp>)
       16    0.001    0.000    0.003    0.000 enum.py:180(__new__)
       16    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
       16    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
       16    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       16    0.000    0.000    0.000    0.000 sre_parse.py:162(__delitem__)
       16    0.000    0.000    0.000    0.000 typing.py:661(__init__)
       15    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
