Exception: Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
         370114 function calls (351434 primitive calls) in 2.634 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      239    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      238    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      240    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
        1    0.000    0.000    0.070    0.070 css_parser.py:1(<module>)
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       28    0.000    0.000    0.000    0.000 ipaddress.py:2181(__init__)
       27    0.000    0.000    0.001    0.000 typing.py:1206(__getitem__)
       93    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       91    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      196    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.030    0.030 dammit.py:67(EntitySubstitution)
       16    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      273    0.000    0.000    0.000    0.000 typing.py:1008(<genexpr>)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
       52    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        2    0.000    0.000    0.001    0.000 hashlib.py:82(__get_builtin_constructor)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1334(_path_hooks)
        1    0.000    0.000    0.024    0.024 cd.py:1(<module>)
        2    0.000    0.000    0.003    0.001 cookies.py:1(<module>)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       22    0.000    0.000    0.018    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
       32    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
        1    0.000    0.000    0.000    0.000 header.py:541(_Accumulator)
